"ISO3","Year","Sector_abb","Disaster_Frequency","Category","Value"
"ARG","2011","Recreation",0,"Export_Domestics",31.1282614994072
"ARG","2011","Recreation",0,"Export_Foreign",0.540808991807503
"ARG","2011","Recreation",0,"Output_Domestic",3094.49670644382
"ARG","2011","Recreation",0,"Output_Foreign",53.7724898320719
"ARG","2011","Transportation",0,"Export_Domestics",1538.39143620862
"ARG","2011","Transportation",0,"Export_Foreign",2025.189470981
"ARG","2011","Transportation",0,"Output_Domestic",21376.6971364235
"ARG","2011","Transportation",0,"Output_Foreign",5110.58438098842
"ARG","2012","Agriculture",3,"Export_Domestics",1916.67753991018
"ARG","2012","Agriculture",3,"Export_Foreign",2.68321170530467
"ARG","2012","Agriculture",3,"Output_Domestic",7927.10366743171
"ARG","2012","Agriculture",3,"Output_Foreign",11.097943252771
"ARG","2012","Construction",3,"Export_Domestics",0
"ARG","2012","Construction",3,"Export_Foreign",0
"ARG","2012","Construction",3,"Output_Domestic",8244.91580455782
"ARG","2012","Construction",3,"Output_Foreign",1001.52695328037
"ARG","2012","Education",3,"Export_Domestics",3.83660489395813
"ARG","2012","Education",3,"Export_Foreign",0.003420849015571
"ARG","2012","Education",3,"Output_Domestic",3365.02839250033
"ARG","2012","Education",3,"Output_Foreign",3.0008264442433
"ARG","2012","Electronic",3,"Export_Domestics",74.6880513945154
"ARG","2012","Electronic",3,"Export_Foreign",71.4363061092783
"ARG","2012","Electronic",3,"Output_Domestic",1453.38742873287
"ARG","2012","Electronic",3,"Output_Foreign",1597.44243629083
"ARG","2012","Energy",3,"Export_Domestics",272.847522945657
"ARG","2012","Energy",3,"Export_Foreign",122.94032284657
"ARG","2012","Energy",3,"Output_Domestic",22378.3283178158
"ARG","2012","Energy",3,"Output_Foreign",5465.04413308565
"ARG","2012","Food",3,"Export_Domestics",2786.7753215204
"ARG","2012","Food",3,"Export_Foreign",344.807713532575
"ARG","2012","Food",3,"Output_Domestic",19736.0446429026
"ARG","2012","Food",3,"Output_Foreign",1395.92812434662
"ARG","2012","HumanActivities",3,"Export_Domestics",165.607798900563
"ARG","2012","HumanActivities",3,"Export_Foreign",135.650314392423
"ARG","2012","HumanActivities",3,"Output_Domestic",13183.1751460424
"ARG","2012","HumanActivities",3,"Output_Foreign",983.797400006345
"ARG","2012","Machinery",3,"Export_Domestics",83.8880355390839
"ARG","2012","Machinery",3,"Export_Foreign",110.497191283981
"ARG","2012","Machinery",3,"Output_Domestic",1965.36462985542
"ARG","2012","Machinery",3,"Output_Foreign",1059.13183672409
"ARG","2012","Manufacturing",3,"Export_Domestics",293.031556385692
"ARG","2012","Manufacturing",3,"Export_Foreign",31.5001734970987
"ARG","2012","Manufacturing",3,"Output_Domestic",7626.26537101466
"ARG","2012","Manufacturing",3,"Output_Foreign",337.207419332356
"ARG","2012","Mining",3,"Export_Domestics",12.235736967545
"ARG","2012","Mining",3,"Export_Foreign",14.752807245224
"ARG","2012","Mining",3,"Output_Domestic",2058.52721599824
"ARG","2012","Mining",3,"Output_Foreign",267.04678329035
"ARG","2012","Pharma",3,"Export_Domestics",222.66992812056
"ARG","2012","Pharma",3,"Export_Foreign",359.408050232454
"ARG","2012","Pharma",3,"Output_Domestic",1739.58163550467
"ARG","2012","Pharma",3,"Output_Foreign",2142.13588704093
"ARG","2012","RawMaterial",3,"Export_Domestics",146.838757961126
"ARG","2012","RawMaterial",3,"Export_Foreign",32.9952019846879
"ARG","2012","RawMaterial",3,"Output_Domestic",2264.01057914143
